評論者,星等,評論內容
styled Nu,3,"1/30晚餐時段，趕在打烊前造訪了這間台北老字號的「鑫華茶餐廳」。由於時間緊湊，點了最具港式庶民代表性的乾炒牛河來試試基本功。餐點風味表現上，上桌時那股焦香的「鑊氣」十足，牛肉也處理得滑嫩，但較為遺憾的是，收汁略顯不足，導致河粉與配料顯得過於濕潤。乾炒牛河講究的是「油亮而不見油、乾爽而帶潤」，當天的狀態油水失去平衡，使得河粉口感偏軟，少了點乾爽利落的彈性，影響了整體的層次感。至於服務也不出意外一貫地""俐落直接""，用餐環境整潔明亮，以上供參~"
Wang Jerry,5,蒸飯不是現蒸的不ok其餘都在水準之上、蘿蔔糕的沾醬很特別不習慣😋
威存林,3,"早在10多年前在金華街上時已光顧多次，口味的確道地好吃，但當時用餐完時總有一種說不上來的感覺，多年後再訪發覺價格飛漲、盤子變小、份量更是縮小，終於領悟到原來我們吃的是寂寞空虛回憶感😂多年後依舊感受不到人情味，只有快速趕客人走的港式冷漠感～
一份鹹魚雞粒炒飯（200）+綜合咖喱（130）+菠蘿油（60）+青菜（100）+一杯鴛鴦（80）共570元。

很抱歉，不會再見了，我的空虛寂寞感👋"
純,5,"有稍微排隊等一下，生意很好
上菜速度很快
餐點都蠻好吃的，炒牛河有鍋氣，炒飯也有
花生醬的那個吐司很好吃，醬給很多
服務態度真的蠻好的，吃完餐點有詢問可以先收餐盤，收完之後還幫忙倒水
會回訪的店"
SAM CHEN,5,港式老店 換了新地方後第一次來 自從在國外生活後就沒來過了 前兩天想起來找了一下 找到了立馬來吃 真棒 生意還是很好 但翻桌很快😊值得推薦😋
小專,5,"店家裡面員工大多都是香港人，環境給人感覺很乾淨，員工也很客氣，會即時巡水跟清理桌上空盤以及垃圾（比一般認知的即時還即時😅）

牛河有入味，好吃，只是有點油～
鳳梨咕咾肉，香氣足，粉薄肉嫩但不爛
炒豬排公仔麵，味較淡，加上店加自製辣椒有加分，豬排一般般
腊味蘿蔔糕，是有料的，吃得到蘿蔔絲，外皮恰恰好吃
蝦米煎腸粉，很驚艷的一道，除了外皮煎到酥酥，醬料也是提味幫手，咬下去先是蝦米香，再來就是蔥的甜味，一卷大小剛剛好，會為了這道再次拜訪！"
Fussygerrard,5,"店家的例湯天天不同，今天剛好碰上是雞湯，雞小腿嫩而不老，湯料份量十足，有紅棗、淮山、枸杞和清熱解毒的白果 ，甘甜自然。
咕嚕雞球酸甜度剛好，不過酸，而且漿粉包裹結實，香口而脆度適中，證明師傅鑊氣拿捏得出色，有香港大排檔的風味，這種口味在台北罕見 。這裡師傅的功力，我在上一次光顧，吃乾炒牛河時已感受得到，到再來吃小炒後更加肯定其實力 。
最令人欣賞的是這裡的人情味，老闆經常和客人聊成一塊，而且得知我是香港人後，更招待我吃隱藏於菜單中的豆沙鍋餅，這份來自鄉情的甜味真是額外的收穫 。"
Yi-Chun Chen,5,"2025.10.10
不開放訂位，但可打電話詢問空位狀況，現金結帳。
座位比較擁擠，但環境整潔乾淨，每桌都有置物籃可以放包包。
出餐速度滿快的，老闆會四處巡桌加檸檬水順便跟客人聊天。

整體調味偏清淡，但比較油一些，飲料跟甜點都不會太甜膩。
桌上的辣醬非常香辣，喜好辛口的客人務必嘗試。
炸腐皮跟煎腸粉附的醬料超好吃，似乎是蠔油+麻醬？

隔壁桌的咖哩綜合、燴飯類、芋頭排骨煲看起來都很好吃 ，下次再試試 。
不愧是搬兩次家又撐過疫情的餐廳，餐點多樣又不膩口。

雪菜肉絲汶米粉（炒米粉）160元
干炒牛肉河（炒牛肉河粉）200元
餐肉蛋炒公仔麵（炒泡麵）200元
蝦米煎腸粉90元
蠔油高麗菜80元
櫛瓜炒牛肉300元
XO醬煎腸粉110元
鮮肉腐皮卷（炸豆皮肉卷）140元
法蘭西多士（奶油炸吐司＋楓糖漿）100元
鮮油菠蘿飽（冰火菠蘿油）60元
楊枝甘露90元
特式鴛鴦（咖啡+奶茶）80元
招牌奶茶80元"
Vinopi Liou,5,"東門捷運站附近的人氣美食，門口排著長長人龍，好奇驅使探店。因為是第一次去，請店員推薦(其實排隊時也一邊做功課），店員推薦港式炒麵、豬扒飯等，考慮再加點蘿蔔糕時(已完售，那就無緣），好，於是點了杯港式奶茶。候餐時對面桌的阿珠媽點了鮮蝦腐皮捲(看起來真的很棒）但小胃王真的吃不下。
分享一下食後感。港式炒麵料多味鮮，肉片很嫩，但稍有進步空間的是海鮮(鮮蝦、魷魚卷）真的沒有鮮甜味，就是爽脆嚼感。搭配公仔麵酥脆，炒麵的湯汁濃郁鮮香，是整碗炒麵的加分項，建議加餐廳自製辣醬(頗辣），別有風味。港式奶茶一如期待，不會過份甜膩，中庸。可能喝過更好喝的。還是給五星，畢竟人潮爆滿，而我點的太少。若有時間排隊，可嚐鮮。
---------------------
【更新】餐肉蛋豬排飯
米飯Q彈好吃，入口有淡淡的稻米香，餐肉與豬排跟期待有些不同，雖好吃，但餐肉這次吃有些豬騷味(也許店家可再留意，味道稍濃)，豬排也許可以在酥硬些?(也許有些人就喜歡這種口感)，若比較起來，覺得上次的港式炒麵(公仔麵)真的對味，湯汁濃郁。整體餐食配色是豐富且有食慾感，這點還是要稱讚。
------------------
腐皮捲
好吃，但如果鮮蝦的味道濃郁鮮甜，相信會更好吃，在期待值內(因為腐皮真的很酥)，但內餡覺得還有進步空間，可能吃過更好吃的。但端上來的感覺很不錯~
下次再點別的試試~~"
Tseng Kuan Chang,1,"建議還是客人上桌在倒水吧?
水杯裡浮一層油污是洗碗機沒洗乾淨吧？
另外事先裝好的水杯一整疊堆在後面，旁邊就是餐車垃圾袋，看店員一直掃地又拿畚箕倒在水杯幫的垃圾袋，塵土飛揚的實在不太衛生啊😰

還有紅豆餡餅的餡可以平均一點嗎？"
